taxID	Taxa	COIII_08_S8	COIII_18_S18	COIII_28_S28	COIII_48_S48	COIII_58_S58	COIII_68_S68	COIII_78_S78	COIII_88_S88
5801	Eimeria acervulina strain Ponace mitochondrion, complete genome	2.0	0.0	0.0	342.0	16.0	0.0	0.0	0.0
5802	Eimeria tenella strain Ingten mitochondrion, complete genome	36.0	16.0	151.0	181.0	0.0	0.0	0.0	0.0
51315	Eimeria necatrix strain Gatnec mitochondrion, complete genome	64.0	33.0	292.0	268.0	0.0	0.0	0.0	0.0
51316	Eimeria praecox strain Andpra mitochondrion, complete genome	46.0	57.0	525.0	0.0	0.0	0.0	0.0	0.0
86281	Caryospora bigenetica voucher C_bigenetica_MTZ_07-12108 mitochondrion, complete genome	100.0	26.0	0.0	421.0	115.0	0.0	0.0	0.0
857748	Eimeria dispersa mitochondrion, complete genome	4.0	1512.0	8.0	2757.0	0.0	0.0	0.0	0.0
1692217	Isospora amphiboluri voucher AHL12-019929 mitochondrion, complete genome	2264.0	2200.0	108.0	1.0	6966.0	0.0	0.0	0.0
1692218	Isospora greineri voucher MAH-2013a_MTZ1 mitochondrion, complete genome	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1729940	Eimeria sp. isolate Be3 cytochrome c oxidase subunit III (COX3) gene, partial cds; mitochondrial	8.0	7507.0	176.0	67.0	0.0	0.0	0.0	0.0
1743397	Isospora sp. isolate 23037 cytochrome c oxidase subunit III (COX3) gene, partial cds; mitochondrial	1.0	4.0	0.0	110.0	132.0	0.0	0.0	0.0
2518965	Isospora sp. ex Microtus arvalis isolate 27MA_RO cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	1.0	35.0	0.0	0.0	53.0	0.0	0.0	0.0
2528730	Isospora sp. Atre-2019a isolate LusSv1_L cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	3.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0
2580421	Eimeria kofoidi isolate JMR 2018_ek mitochondrion, complete genome	6.0	4.0	36.0	27.0	0.0	0.0	0.0	0.0
2826060	Eimeria leuckarti mitochondrion, complete genome	2.0	3.0	5.0	22.0	0.0	0.0	0.0	0.0
2827262	Eimeria sp. JRBarta-2021b isolate OVC 2018 mitochondrion, complete genome	15.0	1.0	6.0	0.0	2.0	0.0	0.0	0.0
44415	Eimeria mitis strain Jormit mitochondrion, complete genome	0.0	7.0	0.0	0.0	13.0	0.0	0.0	0.0
51314	Eimeria brunetti strain Bowbru mitochondrion, complete genome	0.0	2.0	4.0	0.0	2.0	0.0	0.0	0.0
84963	Eimeria falciformis mitochondrion, complete genome	0.0	841.0	0.0	0.0	0.0	2035.0	0.0	322.0
857749	Eimeria gallopavonis mitochondrion, complete genome	0.0	10.0	0.0	4417.0	1.0	0.0	0.0	0.0
935273	Eimeria adenoeides mitochondrion, complete genome	0.0	6.0	0.0	290.0	0.0	0.0	0.0	0.0
1431346	Eimeria innocua mitochondrion, complete genome	0.0	306.0	0.0	0.0	1.0	0.0	0.0	0.0
1627835	Isospora sp. JRB-2015 voucher AHL_G09-038458 mitochondrion, complete genome	0.0	3031.0	0.0	1191.0	0.0	0.0	0.0	0.0
1678285	Isospora serinuse isolate 20237Canary mitochondrion, complete genome	0.0	315.0	0.0	137.0	0.0	0.0	0.0	0.0
1678286	Isospora manorinae isolate 22795 mitochondrion, complete genome	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
1793138	Isospora sp. JRB-2016 mitochondrion, complete genome	0.0	328.0	0.0	0.0	0.0	0.0	0.0	0.0
1910765	Eimeria sp. ex Microtus agrestis isolate 17MAG_FR cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1348.0	0.0	0.0	0.0	1120.0	0.0	165.0
1910766	Eimeria sp. ex Microtus arvalis isolate 6MA_CB_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1196.0	0.0	0.0	0.0	2534.0	0.0	399.0
2518963	Eimeria sp. ex Microtus oeconomus isolate 79MO_KZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	484.0	0.0	0.0	0.0	558.0	0.0	67.0
2518964	Eimeria sp. ex Myodes glareolus isolate 141MG_LIT_CZ cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1926.0	0.0	0.0	0.0	3380.0	0.0	493.0
2518966	Isospora sp. ex Myodes glareolus isolate 50MG_PLE cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0
2528726	Isospora sp. ex Emberiza citrinella isolate EmbCi1_JT cytochrome c oxidase subunit III (COIII) gene, partial cds; mitochondrial	0.0	1515.0	0.0	0.0	0.0	0.0	0.0	0.0
